File	Line	Description	Severity	Code	Project	Suppression State
C:\Dev\link\modules\asio-standalone\asio\include\asio\detail\array.hpp	23	cannot open source file "boost/array.hpp"	Error (active)	E1696	AbeLinkolnsJuce_App	
C:\Dev\link\modules\asio-standalone\asio\include\asio\detail\atomic_count.hpp	25	cannot open source file "boost/detail/atomic_count.hpp"	Error (active)	E1696	AbeLinkolnsJuce_App	
C:\Dev\link\modules\asio-standalone\asio\include\asio\detail\cstdint.hpp	23	cannot open source file "boost/cstdint.hpp"	Error (active)	E1696	AbeLinkolnsJuce_App	
C:\Dev\link\modules\asio-standalone\asio\include\asio\detail\memory.hpp	22	cannot open source file "boost/shared_ptr.hpp"	Error (active)	E1696	AbeLinkolnsJuce_App	
C:\Dev\link\modules\asio-standalone\asio\include\asio\detail\memory.hpp	23	cannot open source file "boost/weak_ptr.hpp"	Error (active)	E1696	AbeLinkolnsJuce_App	
C:\Dev\link\modules\asio-standalone\asio\include\asio\detail\memory.hpp	27	cannot open source file "boost/utility/addressof.hpp"	Error (active)	E1696	AbeLinkolnsJuce_App	
C:\Dev\link\modules\asio-standalone\asio\include\asio\detail\type_traits.hpp	23	cannot open source file "boost/type_traits/add_const.hpp"	Error (active)	E1696	AbeLinkolnsJuce_App	
C:\Dev\link\modules\asio-standalone\asio\include\asio\detail\type_traits.hpp	24	cannot open source file "boost/type_traits/conditional.hpp"	Error (active)	E1696	AbeLinkolnsJuce_App	
C:\Dev\link\modules\asio-standalone\asio\include\asio\detail\type_traits.hpp	25	cannot open source file "boost/type_traits/decay.hpp"	Error (active)	E1696	AbeLinkolnsJuce_App	
C:\Dev\link\modules\asio-standalone\asio\include\asio\detail\type_traits.hpp	26	cannot open source file "boost/type_traits/integral_constant.hpp"	Error (active)	E1696	AbeLinkolnsJuce_App	
C:\Dev\link\modules\asio-standalone\asio\include\asio\detail\type_traits.hpp	27	cannot open source file "boost/type_traits/is_class.hpp"	Error (active)	E1696	AbeLinkolnsJuce_App	
C:\Dev\link\modules\asio-standalone\asio\include\asio\detail\type_traits.hpp	28	cannot open source file "boost/type_traits/is_const.hpp"	Error (active)	E1696	AbeLinkolnsJuce_App	
C:\Dev\link\modules\asio-standalone\asio\include\asio\detail\type_traits.hpp	29	cannot open source file "boost/type_traits/is_convertible.hpp"	Error (active)	E1696	AbeLinkolnsJuce_App	
C:\Dev\link\modules\asio-standalone\asio\include\asio\detail\type_traits.hpp	30	cannot open source file "boost/type_traits/is_function.hpp"	Error (active)	E1696	AbeLinkolnsJuce_App	
C:\Dev\link\modules\asio-standalone\asio\include\asio\detail\type_traits.hpp	31	cannot open source file "boost/type_traits/is_same.hpp"	Error (active)	E1696	AbeLinkolnsJuce_App	
C:\Dev\link\modules\asio-standalone\asio\include\asio\detail\type_traits.hpp	32	cannot open source file "boost/type_traits/remove_pointer.hpp"	Error (active)	E1696	AbeLinkolnsJuce_App	
C:\Dev\link\modules\asio-standalone\asio\include\asio\detail\type_traits.hpp	33	cannot open source file "boost/type_traits/remove_reference.hpp"	Error (active)	E1696	AbeLinkolnsJuce_App	
C:\Dev\link\modules\asio-standalone\asio\include\asio\detail\type_traits.hpp	34	cannot open source file "boost/utility/enable_if.hpp"	Error (active)	E1696	AbeLinkolnsJuce_App	
C:\Dev\link\modules\asio-standalone\asio\include\asio\detail\type_traits.hpp	35	cannot open source file "boost/utility/result_of.hpp"	Error (active)	E1696	AbeLinkolnsJuce_App	
C:\Dev\link\include\ableton\platforms\asio\AsioTimer.hpp	126	namespace "asio" has no member "system_timer"	Error (active)	E0135	AbeLinkolnsJuce_App	
C:\Dev\link\modules\asio-standalone\asio\include\asio\associated_executor.hpp	131	identifier "is_convertible" is undefined	Error (active)	E0020	AbeLinkolnsJuce_App	
C:\Dev\link\modules\asio-standalone\asio\include\asio\associated_executor.hpp	131	type name is not allowed	Error (active)	E0254	AbeLinkolnsJuce_App	
C:\Dev\link\modules\asio-standalone\asio\include\asio\associated_executor.hpp	131	expected an expression	Error (active)	E0029	AbeLinkolnsJuce_App	
C:\Dev\link\modules\asio-standalone\asio\include\asio\associated_executor.hpp	132	expected a ')'	Error (active)	E0018	AbeLinkolnsJuce_App	
